date,Steer_ID,steplength,turnangle,moverate,bout_mins
2019-08-01,d03,23.669736389736126,47.69234073226864,4.611080523906817,71.625
2019-08-01,d04,22.00900751869468,39.00930858269747,4.24601251303058,119.66666666666667
2019-08-01,d06,30.92083250322069,64.99252755883491,5.958589839594241,38.06666666666667
2019-08-01,d14,26.923458640388628,56.110897292595645,5.15205846421956,109.5
2019-08-01,d15,20.299625009937873,62.38386865730166,3.5661619671191516,54.18181818181818
2019-08-01,d17,25.35888613374331,52.44723339373121,4.862947191786731,86.83333333333333
2019-08-01,d18,31.79478560049318,58.18980941446389,6.133591459208333,125.75
2019-08-01,d19,34.48468647881515,55.45783793860487,6.787872322796559,72.28571428571429
2019-08-01,d24,28.38457642681448,45.931095111495914,5.573430410225631,96.8
2019-08-01,d26,33.41274740980604,59.2149918195597,6.577392141388586,71.14285714285714
2019-08-02,d03,39.41545080822587,51.0339366468614,7.484855693952092,65.66666666666667
2019-08-02,d04,36.049071805940315,51.592223821065794,6.861084579388042,76.28571428571429
2019-08-02,d10,38.833585733396774,60.020916355086854,7.619542716486994,68.25
2019-08-02,d14,27.349518596769208,43.02317739203606,5.190113367145691,71.125
2019-08-02,d15,36.99205710902314,57.838713583154664,6.9250205012134165,64.83333333333333
2019-08-02,d17,32.581952109613475,42.368217322254054,6.153639520277757,101.0
2019-08-02,d18,43.433445704098474,45.91898990366178,8.460355485220006,100.85714285714286
2019-08-02,d19,33.29345801779108,63.872629108638115,6.095721925255874,169.75
2019-08-02,d24,41.20719888449737,63.203325213362284,7.8426132079817,74.125
2019-08-02,d26,35.08221653704176,51.49078556550318,6.824177122567352,115.0
2019-08-03,d04,27.128750516271158,50.774392369027595,5.308896486856036,125.5
2019-08-03,d06,24.711354819482562,73.26603060563613,4.835923093382817,83.25
2019-08-03,d10,22.548013259277425,64.3684848594284,4.323039222972785,86.33333333333333
2019-08-03,d14,21.535919408603743,58.27634143337214,4.254342325532795,52.69230769230769
2019-08-03,d15,25.308281924352606,46.39412046911568,4.678685845328927,64.18181818181819
2019-08-03,d17,23.644926254290347,46.31060579816682,4.527621365299914,111.0
2019-08-03,d18,24.620679664105356,51.532902922116584,4.71237249542428,87.57142857142857
2019-08-03,d19,39.523506500989114,64.06252134112566,6.765166899484572,122.2
2019-08-03,d24,20.15400804182865,64.75116256223596,3.8928072151489665,87.28571428571429
2019-08-03,d26,34.11312611173228,56.22270714626769,6.66400527821041,117.66666666666667
2019-08-04,d04,29.71757443690828,55.626414356046816,5.854760497343303,80.33333333333333
2019-08-04,d10,37.59060543621689,61.11924952564413,7.073058007872731,47.888888888888886
2019-08-04,d14,30.715183978940782,49.29450424860002,6.103127368383148,69.55555555555556
2019-08-04,d17,33.847180131907486,42.603080658095195,6.676020264069051,77.88888888888889
2019-08-04,d18,54.78379219147822,49.53162460157064,10.489868264995884,120.66666666666667
2019-08-04,d19,45.15516310495277,57.895119741532966,7.616956795576809,64.2
2019-08-04,d24,30.574609064778997,58.109048084274484,5.9993230182127855,65.27272727272727
2019-08-04,d26,38.03985182183501,55.07302164296479,7.293941630974755,72.6
2019-08-05,d03,31.31961715276855,61.07611889041654,6.217586162069178,57.333333333333336
2019-08-05,d04,32.56692243567799,45.4515858527725,6.428179388925528,68.66666666666667
2019-08-05,d10,24.624308474119847,55.043013730784416,4.774972018728819,35.625
2019-08-05,d14,28.750963292349333,51.57524439819961,5.604963218522251,67.875
2019-08-05,d15,37.7172397805418,42.63877751493251,7.160713512226725,83.0
2019-08-05,d17,32.74073347624006,55.81577727472926,6.269340552946212,86.0
2019-08-05,d19,37.945866366047234,68.5710261728097,6.449870094029398,117.2
2019-08-05,d24,40.483645550854014,51.43531982343469,7.99933527054914,77.88888888888889
2019-08-05,d26,30.194114745148173,54.858695225116655,5.750449456647206,90.57142857142857
2019-08-06,d03,33.286155202272546,63.08329727689466,6.249579787475025,56.5
2019-08-06,d04,28.439752740037253,51.33674796000158,5.427391827973836,62.625
2019-08-06,d06,15.329206336528298,65.1131670052093,2.9848613931605956,54.642857142857146
2019-08-06,d10,19.739248105131058,52.87320539038549,3.6875584119411537,67.28571428571429
2019-08-06,d14,20.90919407301134,48.61674626969988,4.061994997558839,47.27272727272727
2019-08-06,d15,37.55419533001903,49.197442658917915,7.268252584910818,65.75
2019-08-06,d17,28.387429864290464,41.26807812102423,5.450140884710028,109.85714285714286
2019-08-06,d18,32.886482038158086,51.64805937074822,6.3329148591251485,65.6
2019-08-06,d19,43.49597271679555,65.34861656492447,7.648225265982956,92.0
2019-08-06,d24,27.863534248507445,40.904250189322006,5.3013705653509655,100.66666666666667
2019-08-06,d26,39.109143911216485,57.20084260924788,7.541420869212031,176.5
2019-08-07,d03,35.96818115113756,59.056475550939126,6.76113254471002,68.11111111111111
2019-08-07,d04,27.90566005386724,46.489985416072585,5.37932252408299,78.66666666666667
2019-08-07,d10,24.413914077914924,48.600681615808,4.736536083922118,66.375
2019-08-07,d14,23.993482300464088,51.77962279684083,4.658558724295007,110.16666666666667
2019-08-07,d15,25.328629160194417,50.63158382495292,4.901485241014994,124.83333333333333
2019-08-07,d17,22.08637284913919,38.65150312149618,4.198731578767985,107.33333333333333
2019-08-07,d18,44.50535127527109,44.700525414178614,8.750589047880052,104.33333333333333
2019-08-07,d19,32.317820482234445,58.343809944197375,6.058615331093748,67.88888888888889
2019-08-07,d24,22.9148781369306,55.25607599860832,4.474864674149076,95.85714285714286
2019-08-07,d26,25.896633493638255,71.17341297409031,5.114608127416447,79.14285714285714
