"","DateTime","Lat","Long","date","time","rest","graze","walk","sum","timediff_mins","distprev","distnext","bearingprev","bearingnext","turnangle","UTM_X","UTM_Y","distAB","distBC","distAC","turnangleUTM","PctGrz","PctRest","GrzBin","velo_mpmin","velo_flag","ta_flag","veloflag2","tot_flag","DateTime_Char"
"1",2019-07-31 07:32:00,43.318833,-105.186733,"7/31/2019","7:32",62,0,0,62,5,0,0,180,0,180,484858.632788624,4796238.57617253,NA,0,NA,180,0,1,0,0,0,0,0,0,"2019-07-31 07:32:00"
"2",2019-07-31 07:37:00,43.318833,-105.186733,"7/31/2019","7:37",70,5,0,75,5,0,0,0,0,0,484858.632788624,4796238.57617253,0,0,0,180,0.0666666666666667,0.933333333333333,0,0,0,0,0,0,"2019-07-31 07:37:00"
"3",2019-07-31 07:42:00,43.318833,-105.186733,"7/31/2019","7:42",75,0,0,75,5,0,0,0,0,0,484858.632788624,4796238.57617253,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:42:00"
"4",2019-07-31 07:47:00,43.318833,-105.186733,"7/31/2019","7:47",75,0,0,75,5,0,0,0,0,0,484858.632788624,4796238.57617253,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:47:00"
"5",2019-07-31 07:52:00,43.318833,-105.186733,"7/31/2019","7:52",75,0,0,75,5,0,0,0,0,0,484858.632788624,4796238.57617253,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:52:00"
"6",2019-07-31 07:57:00,43.318833,-105.186733,"7/31/2019","7:57",75,0,0,75,5,0,0,0,0,0,484858.632788624,4796238.57617253,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:57:00"
"7",2019-07-31 08:02:00,43.318833,-105.186733,"7/31/2019","8:02",75,0,0,75,5,0,0,0,0,0,484858.632788624,4796238.57617253,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:02:00"
"8",2019-07-31 08:07:00,43.318833,-105.186733,"7/31/2019","8:07",69,6,0,75,5,0,0,0,0,0,484858.632788624,4796238.57617253,0,0,0,180,0.08,0.92,0,0,0,0,0,0,"2019-07-31 08:07:00"
"9",2019-07-31 08:12:00,43.318833,-105.186733,"7/31/2019","8:12",75,0,0,75,5,0,0,0,0,0,484858.632788624,4796238.57617253,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:12:00"
"10",2019-07-31 08:17:00,43.318833,-105.186733,"7/31/2019","8:17",75,0,0,75,5,0,0,0,0,0,484858.632788624,4796238.57617253,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:17:00"
"11",2019-07-31 08:22:00,43.318833,-105.186733,"7/31/2019","8:22",72,2,1,75,5,0,0,0,0,0,484858.632788624,4796238.57617253,0,0,0,180,0.0266666666666667,0.96,0,0,0,0,0,0,"2019-07-31 08:22:00"
"12",2019-07-31 08:27:00,43.318833,-105.186733,"7/31/2019","8:27",75,0,0,75,5,0,5320.65619648496,0,265.943911611541,94.0560883884589,484858.632788624,4796238.57617253,0,5326.8435101261,5326.8435101261,180,0,1,0,0,0,0,1,1,"2019-07-31 08:27:00"
