"","DateTime","Lat","Long","date","time","rest","graze","walk","sum","timediff_mins","distprev","distnext","bearingprev","bearingnext","turnangle","UTM_X","UTM_Y","distAB","distBC","distAC","turnangleUTM","PctGrz","PctRest","GrzBin","velo_mpmin","velo_flag","ta_flag","veloflag2","tot_flag","DateTime_Char"
"69",2019-07-31 13:18:00,43.320092,-105.120448,"7/31/2019","13:18",1,71,3,75,5,47.0448274429777,25.1641597688471,323.466519080079,31.9498481580603,68.4833290779809,490233.597551425,4796368.50915452,46.9920354919736,25.1292758356465,60.8766391943336,111.481516523112,0.946666666666667,0.0133333333333333,1,9.40896548859554,0,0,0,0,"2019-07-31 13:18:00"
"70",2019-07-31 13:28:00,43.3199,-105.120612,"7/31/2019","13:28",8,128,14,150,10,25.1641597688471,16.5382666236361,31.9498481580603,112.906182339703,80.9563341816423,490220.268983871,4796347.20587329,25.1292758356465,16.5488213985619,32.188166235502,99.0121205042228,0.853333333333333,0.0533333333333333,1,2.51641597688471,0,0,0,0,"2019-07-31 13:28:00"
"71",2019-07-31 13:33:00,43.319958,-105.1208,"7/31/2019","13:33",0,74,1,75,5,16.5382666236361,12.634526242977,112.906182339703,70.503464508312,42.4027178313905,490205.034464526,4796353.66906987,16.5488213985619,12.6444000295771,27.2538993454094,137.553742648852,0.986666666666667,0,1,3.30765332472721,0,0,0,0,"2019-07-31 13:33:00"
"72",2019-07-31 13:38:00,43.31992,-105.120947,"7/31/2019","13:38",0,73,2,75,5,12.634526242977,20.5116363200991,70.503464508312,56.1082330837467,14.3952314245653,490193.108981437,4796349.46624877,12.6444000295771,20.5130540100489,32.9109437549422,165.552312210058,0.973333333333333,0,1,2.5269052485954,0,0,0,0,"2019-07-31 13:38:00"
"73",2019-07-31 13:43:00,43.319817,-105.121157,"7/31/2019","13:43",0,72,3,75,5,20.5116363200991,5.0665692919272,56.1082330837467,14.8691158618063,41.2391172219404,490176.064702732,4796338.05231219,20.5130540100489,5.05569733940091,24.5421081144874,138.716988910167,0.96,0,1,4.10232726401983,0,0,0,0,"2019-07-31 13:43:00"
"74",2019-07-31 13:48:00,43.319773,-105.121173,"7/31/2019","13:48",9,65,1,75,5,5.0665692919272,0,14.8691158618063,0,14.8691158618063,490174.760263269,4796333.16779447,5.05569733940091,0,5.05569733940091,180,0.866666666666667,0.12,1,1.01331385838544,0,0,0,0,"2019-07-31 13:48:00"
"75",2019-07-31 13:53:00,43.319773,-105.121173,"7/31/2019","13:53",73,2,0,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.0266666666666667,0.973333333333333,0,0,0,0,0,0,"2019-07-31 13:53:00"
"76",2019-07-31 13:58:00,43.319773,-105.121173,"7/31/2019","13:58",71,4,0,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.0533333333333333,0.946666666666667,0,0,0,0,0,0,"2019-07-31 13:58:00"
"77",2019-07-31 14:03:00,43.319773,-105.121173,"7/31/2019","14:03",70,5,0,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.0666666666666667,0.933333333333333,0,0,0,0,0,0,"2019-07-31 14:03:00"
"78",2019-07-31 14:08:00,43.319773,-105.121173,"7/31/2019","14:08",69,7,0,76,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.0921052631578947,0.907894736842105,0,0,0,0,0,0,"2019-07-31 14:08:00"
"79",2019-07-31 14:13:00,43.319773,-105.121173,"7/31/2019","14:13",74,1,0,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.0133333333333333,0.986666666666667,0,0,0,0,0,0,"2019-07-31 14:13:00"
"80",2019-07-31 14:18:00,43.319773,-105.121173,"7/31/2019","14:18",70,5,0,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.0666666666666667,0.933333333333333,0,0,0,0,0,0,"2019-07-31 14:18:00"
"81",2019-07-31 14:23:00,43.319773,-105.121173,"7/31/2019","14:23",71,4,0,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.0533333333333333,0.946666666666667,0,0,0,0,0,0,"2019-07-31 14:23:00"
"82",2019-07-31 14:28:00,43.319773,-105.121173,"7/31/2019","14:28",75,0,0,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 14:28:00"
"83",2019-07-31 14:33:00,43.319773,-105.121173,"7/31/2019","14:33",71,3,1,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.04,0.946666666666667,0,0,0,0,0,0,"2019-07-31 14:33:00"
"84",2019-07-31 14:38:00,43.319773,-105.121173,"7/31/2019","14:38",75,0,0,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 14:38:00"
"85",2019-07-31 14:43:00,43.319773,-105.121173,"7/31/2019","14:43",72,2,1,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.0266666666666667,0.96,0,0,0,0,0,0,"2019-07-31 14:43:00"
"86",2019-07-31 14:48:00,43.319773,-105.121173,"7/31/2019","14:48",72,3,0,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.04,0.96,0,0,0,0,0,0,"2019-07-31 14:48:00"
"87",2019-07-31 14:53:00,43.319773,-105.121173,"7/31/2019","14:53",71,4,0,75,5,0,0,0,0,0,490174.760263269,4796333.16779447,0,0,0,180,0.0533333333333333,0.946666666666667,0,0,0,0,0,0,"2019-07-31 14:53:00"
"88",2019-07-31 14:58:00,43.319773,-105.121173,"7/31/2019","14:58",73,2,0,75,5,0,174.386361270438,0,302.897610788068,57.1023892119317,490174.760263269,4796333.16779447,0,174.40831465314,174.40831465314,180,0.0266666666666667,0.973333333333333,0,0,0,0,1,1,"2019-07-31 14:58:00"
"89",2019-07-31 15:00:00,43.31892,-105.119367,"7/31/2019","15:00",21,9,0,30,2,174.386361270438,249.484540285971,302.897610788068,358.151658116351,55.2540473282822,490321.063300634,4796238.22738433,174.40831465314,248.891839288087,376.626701706787,124.707603724162,0.3,0.7,0,87.1931806352188,1,0,2,2,"2019-07-31 15:00:00"
"90",2019-07-31 15:05:00,43.31668,-105.119268,"7/31/2019","15:05",21,38,16,75,5,249.484540285971,220.056476290965,358.151658116351,48.1309074654034,49.9792493490528,490328.735515502,4795989.45382307,248.891839288087,219.966098827469,425.141248905119,129.97955728218,0.506666666666667,0.28,1,49.8969080571941,1,0,1,1,"2019-07-31 15:05:00"
"91",2019-07-31 15:15:00,43.315358,-105.121288,"7/31/2019","15:15",0,26,124,150,10,220.056476290965,250.89398258759,48.1309074654034,45.592882429069,2.53802503633437,490164.723502435,4795842.87570668,219.966098827469,250.751433729796,470.602700335169,177.407037929759,0.173333333333333,0,0,22.0056476290965,0,0,1,1,"2019-07-31 15:15:00"
"92",2019-07-31 15:20:00,43.313778,-105.123497,"7/31/2019","15:20",9,27,39,75,5,250.89398258759,24.7487361143226,45.592882429069,113.523563149968,67.9306807208994,489985.335632396,4795667.67218617,250.751433729796,24.7638305076662,261.065970928812,112.032238717396,0.36,0.12,0,50.178796517518,1,0,1,1,"2019-07-31 15:20:00"
"93",2019-07-31 15:25:00,43.313867,-105.123777,"7/31/2019","15:25",0,29,46,75,5,24.7487361143226,40.1136006718492,113.523563149968,120.800524234043,7.27696108407443,489962.644414288,4795677.5896416,24.7638305076662,40.1233300839144,64.7636985978972,172.668030525099,0.386666666666667,0,0,4.94974722286452,0,0,0,0,"2019-07-31 15:25:00"
"94",2019-07-31 15:30:00,43.314052,-105.124202,"7/31/2019","15:30",0,50,25,75,5,40.1136006718492,6.15674546300618,120.800524234043,91.0323592011536,29.7681650328893,489928.210755944,4795698.18587402,40.1233300839144,6.16400025500877,45.5768161024466,150.184448319412,0.666666666666667,0,1,8.02272013436984,0,0,0,0,"2019-07-31 15:30:00"
"95",2019-07-31 15:35:00,43.314053,-105.124278,"7/31/2019","15:35",0,41,34,75,5,6.15674546300618,8.06882055561274,91.0323592011536,109.272530818351,18.2401716171979,489922.047928198,4795698.30609601,6.16400025500877,8.07519406695355,14.0624489647782,161.708439423294,0.546666666666667,0,1,1.23134909260124,0,0,0,0,"2019-07-31 15:35:00"
"96",2019-07-31 15:40:00,43.314077,-105.124372,"7/31/2019","15:40",0,66,9,75,5,8.06882055561274,13.5813939942987,109.272530818351,152.194368517308,42.9218376989568,489914.429247997,4795700.98274899,8.07519406695355,13.5595465437662,20.2344768836311,137.034593991895,0.88,0,1,1.61376411112255,0,0,0,0,"2019-07-31 15:40:00"
"97",2019-07-31 15:45:00,43.314185,-105.12445,"7/31/2019","15:45",0,57,18,75,5,13.5813939942987,10.5059329952289,152.194368517308,144.578358353011,7.61601016429717,489908.121944838,4795712.98604976,13.5595465437662,10.4934472371009,24.0007541397094,172.329334919907,0.76,0,1,2.71627879885973,0,0,0,0,"2019-07-31 15:45:00"
"98",2019-07-31 15:50:00,43.314262,-105.124525,"7/31/2019","15:50",0,53,22,75,5,10.5059329952289,12.393875739587,144.578358353011,32.4964216448724,112.081936708139,489902.052806373,4795721.54630637,10.4934472371009,12.3770642491247,12.8706521776272,67.8965599330773,0.706666666666667,0,1,2.10118659904579,0,0,0,0,"2019-07-31 15:50:00"
"99",2019-07-31 15:55:00,43.314168,-105.124607,"7/31/2019","15:55",0,56,19,75,5,12.393875739587,9.34588194527404,32.4964216448724,342.283264081011,50.2131575638613,489895.387709927,4795711.11710655,12.3770642491247,9.32670517858536,19.6957753239204,129.745708793887,0.746666666666667,0,1,2.4787751479174,0,0,0,0,"2019-07-31 15:55:00"
"100",2019-07-31 16:00:00,43.314088,-105.124572,"7/31/2019","16:00",0,45,30,75,5,9.34588194527404,6.09624020019334,342.283264081011,259.515105847316,82.7681582336954,489898.212674034,4795702.22851795,9.32670517858536,6.10270853008135,11.771179683627,97.2009597929265,0.6,0,1,1.86917638905481,0,0,0,0,"2019-07-31 16:00:00"
"101",2019-07-31 16:05:00,43.314098,-105.124498,"7/31/2019","16:05",0,43,32,75,5,6.09624020019334,13.5697681249073,259.515105847316,66.8846871702819,167.369581322966,489904.215134844,4795703.33011481,6.10270853008135,13.5782959644951,7.73918221533144,12.6264610200252,0.573333333333333,0,1,1.21924804003867,0,1,0,1,"2019-07-31 16:05:00"
"102",2019-07-31 16:10:00,43.31405,-105.124652,"7/31/2019","16:10",0,54,21,75,5,13.5697681249073,36.3290312456301,66.8846871702819,157.655481811,90.7707946407177,489891.719018578,4795698.0181284,13.5782959644951,36.2611760292582,38.5485941507178,89.2007813690067,0.72,0,1,2.71395362498147,0,0,0,0,"2019-07-31 16:10:00"
"103",2019-07-31 16:20:00,43.314352,-105.124822,"7/31/2019","16:20",0,123,28,151,10,36.3290312456301,9.18979413059517,157.655481811,165.663863661072,8.00838185007279,489877.983498698,4795731.57715671,36.2611760292582,9.16991905300724,45.3596593430896,171.936917234813,0.814569536423841,0,1,3.63290312456301,0,0,0,0,"2019-07-31 16:20:00"
"104",2019-07-31 16:25:00,43.314432,-105.12485,"7/31/2019","16:25",0,49,26,75,5,9.18979413059517,4.38046901027728,165.663863661072,135.259584628761,30.4042790323115,489875.726214089,4795740.46490567,9.16991905300724,4.37774857704699,13.1338450160733,149.548263881674,0.653333333333333,0,1,1.83795882611903,0,0,0,0,"2019-07-31 16:25:00"
"105",2019-07-31 16:30:00,43.31446,-105.124888,"7/31/2019","16:30",0,34,41,75,5,4.38046901027728,31.746243927544,135.259584628761,154.702531052329,19.4429464235685,489872.649386415,4795743.57903702,4.37774857704699,31.6912366212088,35.8489656913385,160.506072178341,0.453333333333333,0,0,0.876093802055455,0,0,0,0,"2019-07-31 16:30:00"
"106",2019-07-31 16:35:00,43.314718,-105.125055,"7/31/2019","16:35",0,39,36,75,5,31.746243927544,28.1093786776034,154.702531052329,161.110035816992,6.40750476466289,489859.150011198,4795772.25134679,31.6912366212088,28.0529211998859,59.6511272666086,173.537288225221,0.52,0,1,6.34924878550879,0,0,0,0,"2019-07-31 16:35:00"
"107",2019-07-31 16:40:00,43.314957,-105.125167,"7/31/2019","16:40",14,50,11,75,5,28.1093786776034,21.3759957092119,161.110035816992,149.14480847235,11.965227344642,489850.107581733,4795798.80696497,28.0529211998859,21.3450604444874,49.133916679746,167.981521519314,0.666666666666667,0.186666666666667,1,5.62187573552069,0,0,0,0,"2019-07-31 16:40:00"
"108",2019-07-31 16:45:00,43.315122,-105.125302,"7/31/2019","16:45",0,69,6,75,5,21.3759957092119,13.6944532196903,149.14480847235,178.979703345495,29.8348948731449,489839.187813115,4795817.1473646,21.3450604444874,13.6618795608306,33.8848928213011,150.117355245293,0.92,0,1,4.27519914184238,0,0,0,0,"2019-07-31 16:45:00"
"109",2019-07-31 16:50:00,43.315245,-105.125305,"7/31/2019","16:50",0,63,12,75,5,13.6944532196903,45.4392187607606,178.979703345495,178.257358244713,0.722345100781922,489838.965034969,4795830.80742767,13.6618795608306,45.3312368164103,58.9922820907269,179.220761018626,0.84,0,1,2.73889064393806,0,0,0,0,"2019-07-31 16:50:00"
"110",2019-07-31 16:55:00,43.315653,-105.125322,"7/31/2019","16:55",0,63,12,75,5,45.4392187607606,20.26807868257,178.257358244713,181.608660877714,3.35130263300056,489837.654486121,4795876.11971622,45.3312368164103,20.2199047755426,65.5272245752058,176.592623217117,0.84,0,1,9.08784375215212,0,0,0,0,"2019-07-31 16:55:00"
"111",2019-07-31 17:00:00,43.315835,-105.125315,"7/31/2019","17:00",0,68,7,75,5,20.26807868257,12.907735420734,181.608660877714,142.408723779993,39.1999370977211,489838.252441949,4795896.33077749,20.2199047755426,12.8940591787481,31.2919080085298,140.755373380294,0.906666666666667,0,1,4.05361573651401,0,0,0,0,"2019-07-31 17:00:00"
"112",2019-07-31 17:05:00,43.315927,-105.125412,"7/31/2019","17:05",0,66,9,75,5,12.907735420734,10.9964725622146,142.408723779993,193.679366678082,51.2706428980889,489830.402088486,4795906.55959525,12.8940591787481,10.9724834344055,21.5333113728396,128.688436306608,0.88,0,1,2.5815470841468,0,0,0,0,"2019-07-31 17:05:00"
"113",2019-07-31 17:10:00,43.316023,-105.12538,"7/31/2019","17:10",0,52,23,75,5,10.9964725622146,23.0566821981524,193.679366678082,292.94792674589,99.2685600678081,489833.012957963,4795917.21692856,10.9724834344055,23.071348963895,23.898470598874,80.7058405727357,0.693333333333333,0,1,2.19929451244291,0,0,0,0,"2019-07-31 17:10:00"
"114",2019-07-31 17:15:00,43.315942,-105.125118,"7/31/2019","17:15",4,53,18,75,5,23.0566821981524,9.02516200001993,292.94792674589,252.099386072977,40.8485406729124,489854.244902919,4795908.18965564,23.071348963895,9.03275895429811,30.4821028217074,139.107117872941,0.706666666666667,0.0533333333333333,1,4.61133643963048,0,0,0,0,"2019-07-31 17:15:00"
"115",2019-07-31 17:20:00,43.315967,-105.125012,"7/31/2019","17:20",0,60,15,75,5,9.02516200001993,1.72492916905046,252.099386072977,296.773847982913,44.6744619099353,489862.844545621,4795910.95314613,9.03275895429811,1.72571281258741,10.3314291943289,135.282663287457,0.8,0,1,1.80503240000399,0,0,0,0,"2019-07-31 17:20:00"
"116",2019-07-31 17:25:00,43.31596,-105.124993,"7/31/2019","17:25",0,63,13,76,5,1.72492916905046,0,296.773847982913,0,63.2261520170874,489864.384082073,4795910.17345887,1.72571281258741,0,1.72571281258741,180,0.828947368421053,0,1,0.344985833810092,0,0,0,0,"2019-07-31 17:25:00"
