"","DateTime","Lat","Long","date","time","rest","graze","walk","sum","timediff_mins","distprev","distnext","bearingprev","bearingnext","turnangle","UTM_X","UTM_Y","distAB","distBC","distAC","turnangleUTM","PctGrz","PctRest","GrzBin","velo_mpmin","velo_flag","ta_flag","veloflag2","tot_flag","DateTime_Char"
"1",2019-07-31 07:12:00,43.318863,-105.186695,"7/31/2019","7:12",63,0,0,63,5,0,0,180,0,180,484861.721491924,4796241.90092014,NA,0,NA,180,0,1,0,0,0,0,0,0,"2019-07-31 07:12:00"
"2",2019-07-31 07:17:00,43.318863,-105.186695,"7/31/2019","7:17",75,0,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:17:00"
"3",2019-07-31 07:22:00,43.318863,-105.186695,"7/31/2019","7:22",75,0,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:22:00"
"4",2019-07-31 07:27:00,43.318863,-105.186695,"7/31/2019","7:27",75,0,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:27:00"
"5",2019-07-31 07:32:00,43.318863,-105.186695,"7/31/2019","7:32",74,1,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0.0133333333333333,0.986666666666667,0,0,0,0,0,0,"2019-07-31 07:32:00"
"6",2019-07-31 07:37:00,43.318863,-105.186695,"7/31/2019","7:37",75,0,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:37:00"
"7",2019-07-31 07:42:00,43.318863,-105.186695,"7/31/2019","7:42",75,0,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:42:00"
"8",2019-07-31 07:47:00,43.318863,-105.186695,"7/31/2019","7:47",75,0,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:47:00"
"9",2019-07-31 07:52:00,43.318863,-105.186695,"7/31/2019","7:52",73,0,2,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,0.973333333333333,0,0,0,0,0,0,"2019-07-31 07:52:00"
"10",2019-07-31 07:57:00,43.318863,-105.186695,"7/31/2019","7:57",75,0,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:57:00"
"11",2019-07-31 08:02:00,43.318863,-105.186695,"7/31/2019","8:02",71,4,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0.0533333333333333,0.946666666666667,0,0,0,0,0,0,"2019-07-31 08:02:00"
"12",2019-07-31 08:07:00,43.318863,-105.186695,"7/31/2019","8:07",75,0,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:07:00"
"13",2019-07-31 08:12:00,43.318863,-105.186695,"7/31/2019","8:12",75,0,0,75,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:12:00"
"14",2019-07-31 08:17:00,43.318863,-105.186695,"7/31/2019","8:17",76,0,0,76,5,0,0,0,0,0,484861.721491924,4796241.90092014,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:17:00"
"15",2019-07-31 08:22:00,43.318863,-105.186695,"7/31/2019","8:22",73,0,2,75,5,0,5316.55997845666,0,265.791000092567,94.2089999074332,484861.721491924,4796241.90092014,0,5322.73529781639,5322.73529781639,180,0,0.973333333333333,0,0,0,0,1,1,"2019-07-31 08:22:00"
"16",2019-07-31 08:32:00,43.322362,-105.121225,"7/31/2019","8:32",86,49,15,150,10,5316.55997845666,0,265.791000092567,0,94.2089999074332,490170.961240324,4796620.69419439,5322.73529781639,0,5322.73529781639,180,0.326666666666667,0.573333333333333,0,531.655997845666,1,0,1,1,"2019-07-31 08:32:00"
"17",2019-07-31 08:37:00,43.322362,-105.121225,"7/31/2019","8:37",28,37,10,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0.493333333333333,0.373333333333333,0,0,0,0,0,0,"2019-07-31 08:37:00"
"18",2019-07-31 08:42:00,43.322362,-105.121225,"7/31/2019","8:42",75,0,0,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:42:00"
"19",2019-07-31 08:47:00,43.322362,-105.121225,"7/31/2019","8:47",66,9,0,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0.12,0.88,0,0,0,0,0,0,"2019-07-31 08:47:00"
"20",2019-07-31 08:52:00,43.322362,-105.121225,"7/31/2019","8:52",75,0,0,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:52:00"
"21",2019-07-31 08:57:00,43.322362,-105.121225,"7/31/2019","8:57",75,0,0,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:57:00"
"22",2019-07-31 09:02:00,43.322362,-105.121225,"7/31/2019","9:02",74,1,0,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0.0133333333333333,0.986666666666667,0,0,0,0,0,0,"2019-07-31 09:02:00"
"23",2019-07-31 09:07:00,43.322362,-105.121225,"7/31/2019","9:07",65,7,3,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0.0933333333333333,0.866666666666667,0,0,0,0,0,0,"2019-07-31 09:07:00"
"24",2019-07-31 09:12:00,43.322362,-105.121225,"7/31/2019","9:12",75,0,0,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:12:00"
"25",2019-07-31 09:17:00,43.322362,-105.121225,"7/31/2019","9:17",75,0,0,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:17:00"
"26",2019-07-31 09:22:00,43.322362,-105.121225,"7/31/2019","9:22",76,0,0,76,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:22:00"
"27",2019-07-31 09:27:00,43.322362,-105.121225,"7/31/2019","9:27",75,0,0,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:27:00"
"28",2019-07-31 09:32:00,43.322362,-105.121225,"7/31/2019","9:32",75,0,0,75,5,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:32:00"
"29",2019-07-31 09:35:00,43.322362,-105.121225,"7/31/2019","9:35",45,0,0,45,3,0,0,0,0,0,490170.961240324,4796620.69419439,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:35:00"
