"","DateTime","Lat","Long","date","time","rest","graze","walk","sum","timediff_mins","distprev","distnext","bearingprev","bearingnext","turnangle","UTM_X","UTM_Y","distAB","distBC","distAC","turnangleUTM","PctGrz","PctRest","GrzBin","velo_mpmin","velo_flag","ta_flag","veloflag2","tot_flag","DateTime_Char"
"1",2019-07-31 07:21:00,43.318823,-105.186705,"7/31/2019","7:21",63,1,0,64,5,0,0,180,0,180,484860.900704647,4796237.46055097,NA,0,NA,180,0.015625,0.984375,0,0,0,0,0,0,"2019-07-31 07:21:00"
"2",2019-07-31 07:26:00,43.318823,-105.186705,"7/31/2019","7:26",75,0,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:26:00"
"3",2019-07-31 07:31:00,43.318823,-105.186705,"7/31/2019","7:31",72,3,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0.04,0.96,0,0,0,0,0,0,"2019-07-31 07:31:00"
"4",2019-07-31 07:36:00,43.318823,-105.186705,"7/31/2019","7:36",71,4,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0.0533333333333333,0.946666666666667,0,0,0,0,0,0,"2019-07-31 07:36:00"
"5",2019-07-31 07:41:00,43.318823,-105.186705,"7/31/2019","7:41",75,0,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:41:00"
"6",2019-07-31 07:46:00,43.318823,-105.186705,"7/31/2019","7:46",75,0,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:46:00"
"7",2019-07-31 07:51:00,43.318823,-105.186705,"7/31/2019","7:51",75,0,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:51:00"
"8",2019-07-31 07:56:00,43.318823,-105.186705,"7/31/2019","7:56",75,0,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:56:00"
"9",2019-07-31 08:01:00,43.318823,-105.186705,"7/31/2019","8:01",65,10,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0.133333333333333,0.866666666666667,0,0,0,0,0,0,"2019-07-31 08:01:00"
"10",2019-07-31 08:06:00,43.318823,-105.186705,"7/31/2019","8:06",75,0,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:06:00"
"11",2019-07-31 08:11:00,43.318823,-105.186705,"7/31/2019","8:11",75,0,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:11:00"
"12",2019-07-31 08:16:00,43.318823,-105.186705,"7/31/2019","8:16",75,0,0,75,5,0,0,0,0,0,484860.900704647,4796237.46055097,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:16:00"
"13",2019-07-31 08:21:00,43.318823,-105.186705,"7/31/2019","8:21",73,0,2,75,5,0,3761.76518357792,0,268.328138084786,91.6718619152136,484860.900704647,4796237.46055097,0,3766.1956387307,3766.1956387307,180,0,0.973333333333333,0,0,0,0,1,1,"2019-07-31 08:21:00"
"14",2019-07-31 08:26:00,43.319803,-105.140277,"7/31/2019","8:26",76,0,0,76,5,3761.76518357792,1570.45119546421,268.328138084786,260.20397934591,8.12415873887602,488625.729349018,4796338.92417851,3766.1956387307,1572.14200493737,5327.1073205347,171.78945445133,0,1,0,752.353036715583,1,0,2,2,"2019-07-31 08:26:00"
"15",2019-07-31 08:31:00,43.32221,-105.12117,"7/31/2019","8:31",27,40,8,75,5,1570.45119546421,0,260.20397934591,0,99.7960206540897,490175.396200271,4796603.80742415,1572.14200493737,0,1572.14200493737,180,0.533333333333333,0.36,1,314.090239092841,1,0,1,1,"2019-07-31 08:31:00"
