"","DateTime","Lat","Long","date","time","rest","graze","walk","sum","timediff_mins","distprev","distnext","bearingprev","bearingnext","turnangle","UTM_X","UTM_Y","distAB","distBC","distAC","turnangleUTM","PctGrz","PctRest","GrzBin","velo_mpmin","velo_flag","ta_flag","veloflag2","tot_flag","DateTime_Char"
"1",2019-07-31 08:01:00,43.31883,-105.186713,"7/31/2019","8:01",73,0,0,73,5,0,0,180,0,180,484860.253757174,4796238.23938303,NA,0,NA,180,0,1,0,0,0,0,0,0,"2019-07-31 08:01:00"
"2",2019-07-31 08:06:00,43.31883,-105.186713,"7/31/2019","8:06",75,0,0,75,5,0,0,0,0,0,484860.253757174,4796238.23938303,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:06:00"
"3",2019-07-31 08:11:00,43.31883,-105.186713,"7/31/2019","8:11",73,1,1,75,5,0,0,0,0,0,484860.253757174,4796238.23938303,0,0,0,180,0.0133333333333333,0.973333333333333,0,0,0,0,0,0,"2019-07-31 08:11:00"
"4",2019-07-31 08:16:00,43.31883,-105.186713,"7/31/2019","8:16",75,0,0,75,5,0,3075.80393302992,0,267.841673485227,92.1583265147725,484860.253757174,4796238.23938303,0,3079.42060149507,3079.42060149507,180,0,1,0,0,0,0,1,1,"2019-07-31 08:16:00"
"5",2019-07-31 08:21:00,43.319868,-105.148762,"7/31/2019","8:21",72,2,1,75,5,3075.80393302992,2251.31294763739,267.841673485227,263.429343885083,4.41232960014486,487937.741329062,4796347.33331404,3079.42060149507,2253.86467615737,5329.38123739239,175.505919587413,0.0266666666666667,0.96,0,615.160786605983,1,0,2,2,"2019-07-31 08:21:00"
"6",2019-07-31 08:26:00,43.322187,-105.121147,"7/31/2019","8:26",75,0,0,75,5,2251.31294763739,0,263.429343885083,0,96.5706561149174,490177.257361588,4796601.25046291,2253.86467615737,0,2253.86467615737,180,0,1,0,450.262589527479,1,0,1,1,"2019-07-31 08:26:00"
"7",2019-07-31 08:31:00,43.322187,-105.121147,"7/31/2019","8:31",27,36,12,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0.48,0.36,0,0,0,0,0,0,"2019-07-31 08:31:00"
"8",2019-07-31 08:36:00,43.322187,-105.121147,"7/31/2019","8:36",12,46,17,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0.613333333333333,0.16,1,0,0,0,0,0,"2019-07-31 08:36:00"
"9",2019-07-31 08:41:00,43.322187,-105.121147,"7/31/2019","8:41",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:41:00"
"10",2019-07-31 08:46:00,43.322187,-105.121147,"7/31/2019","8:46",67,8,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0.106666666666667,0.893333333333333,0,0,0,0,0,0,"2019-07-31 08:46:00"
"11",2019-07-31 08:51:00,43.322187,-105.121147,"7/31/2019","8:51",72,3,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0.04,0.96,0,0,0,0,0,0,"2019-07-31 08:51:00"
"12",2019-07-31 08:56:00,43.322187,-105.121147,"7/31/2019","8:56",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 08:56:00"
"13",2019-07-31 09:01:00,43.322187,-105.121147,"7/31/2019","9:01",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:01:00"
"14",2019-07-31 09:06:00,43.322187,-105.121147,"7/31/2019","9:06",71,0,6,77,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,0.922077922077922,0,0,0,0,0,0,"2019-07-31 09:06:00"
"15",2019-07-31 09:11:00,43.322187,-105.121147,"7/31/2019","9:11",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:11:00"
"16",2019-07-31 09:16:00,43.322187,-105.121147,"7/31/2019","9:16",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:16:00"
"17",2019-07-31 09:21:00,43.322187,-105.121147,"7/31/2019","9:21",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:21:00"
"18",2019-07-31 09:26:00,43.322187,-105.121147,"7/31/2019","9:26",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:26:00"
"19",2019-07-31 09:31:00,43.322187,-105.121147,"7/31/2019","9:31",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:31:00"
"20",2019-07-31 09:36:00,43.322187,-105.121147,"7/31/2019","9:36",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:36:00"
"21",2019-07-31 09:41:00,43.322187,-105.121147,"7/31/2019","9:41",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:41:00"
"22",2019-07-31 09:46:00,43.322187,-105.121147,"7/31/2019","9:46",75,0,0,75,5,0,0,0,0,0,490177.257361588,4796601.25046291,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 09:46:00"
