"","DateTime","Lat","Long","date","time","rest","graze","walk","sum","timediff_mins","distprev","distnext","bearingprev","bearingnext","turnangle","UTM_X","UTM_Y","distAB","distBC","distAC","turnangleUTM","PctGrz","PctRest","GrzBin","velo_mpmin","velo_flag","ta_flag","veloflag2","tot_flag","DateTime_Char"
"1",2019-07-31 06:59:00,43.318882,-105.186702,"7/31/2019","6:59",73,0,0,73,5,0,0,180,0,180,484861.158609651,4796244.01222542,NA,0,NA,180,0,1,0,0,0,0,0,0,"2019-07-31 06:59:00"
"2",2019-07-31 07:04:00,43.318882,-105.186702,"7/31/2019","7:04",75,0,0,75,5,0,0,0,0,0,484861.158609651,4796244.01222542,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:04:00"
"3",2019-07-31 07:09:00,43.318882,-105.186702,"7/31/2019","7:09",75,0,0,75,5,0,0,0,0,0,484861.158609651,4796244.01222542,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:09:00"
"4",2019-07-31 07:14:00,43.318882,-105.186702,"7/31/2019","7:14",75,0,0,75,5,0,0,0,0,0,484861.158609651,4796244.01222542,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:14:00"
"5",2019-07-31 07:19:00,43.318882,-105.186702,"7/31/2019","7:19",75,0,0,75,5,0,0,0,0,0,484861.158609651,4796244.01222542,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:19:00"
"6",2019-07-31 07:24:00,43.318882,-105.186702,"7/31/2019","7:24",75,0,0,75,5,0,0,0,0,0,484861.158609651,4796244.01222542,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:24:00"
"7",2019-07-31 07:29:00,43.318882,-105.186702,"7/31/2019","7:29",75,0,0,75,5,0,0,0,0,0,484861.158609651,4796244.01222542,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:29:00"
"8",2019-07-31 07:34:00,43.318882,-105.186702,"7/31/2019","7:34",74,1,0,75,5,0,0,0,0,0,484861.158609651,4796244.01222542,0,0,0,180,0.0133333333333333,0.986666666666667,0,0,0,0,0,0,"2019-07-31 07:34:00"
"9",2019-07-31 07:39:00,43.318882,-105.186702,"7/31/2019","7:39",69,5,1,75,5,0,0,0,0,0,484861.158609651,4796244.01222542,0,0,0,180,0.0666666666666667,0.92,0,0,0,0,0,0,"2019-07-31 07:39:00"
"10",2019-07-31 07:44:00,43.318882,-105.186702,"7/31/2019","7:44",75,0,0,75,5,0,0,0,0,0,484861.158609651,4796244.01222542,0,0,0,180,0,1,0,0,0,0,0,0,"2019-07-31 07:44:00"
